view,family,rank,token,report_count
artifact_model_component,lokibot,4,dat,3841
artifact_model_component,lokibot,5,guid,3719
artifact_model_component,lokibot,6,db,3630
artifact_model_component,lokibot,7,data,3613
artifact_model_component,lokibot,8,login,3607
artifact_model_component,lokibot,9,web,3604
artifact_model_component,lokibot,10,black,3568
artifact_model_component,lokibot,11,hawk,3568
artifact_model_component,lokibot,12,browsedata,3560
artifact_model_component,lokibot,13,staticcache,3041
artifact_model_component,lokibot,14,ini,2923
artifact_model_component,lokibot,15,xml,2774
artifact_model_component,lokibot,16,accounts,2759
artifact_model_component,lokibot,17,profiles,2757
artifact_model_component,lokibot,18,cfg,2729
artifact_model_component,lokibot,19,recentservers,2726
artifact_model_component,lokibot,20,favorites,2711
artifact_model_component,njrat,1,file,3357
artifact_model_component,njrat,2,file_ext,3357
artifact_model_component,njrat,3,tmp,3318
artifact_model_component,njrat,4,dll,3313
artifact_model_component,njrat,5,windows,3309
artifact_model_component,njrat,6,microsoft,3278
artifact_model_component,njrat,7,system,3272
artifact_model_component,njrat,8,ksecdd,3218
artifact_model_component,njrat,9,local,3191
artifact_model_component,njrat,10,users,3135
artifact_model_component,njrat,11,appdata,3112
artifact_model_component,njrat,12,hex,3065
artifact_model_component,njrat,13,nls,3044
artifact_model_component,njrat,14,exe,2988
artifact_model_component,njrat,15,user,2955
artifact_model_component,njrat,16,reg,2917
artifact_model_component,njrat,17,config,2912
artifact_model_component,njrat,18,temp,2896
artifact_model_component,njrat,19,disableusermodecallbackfilter,2893
artifact_model_component,njrat,20,hkey_local_machine,2890
artifact_model_component,qakbot,1,reg,4871
artifact_model_component,qakbot,2,disableusermodecallbackfilter,4869
artifact_model_component,qakbot,3,microsoft,4866
artifact_model_component,qakbot,4,file,4865
artifact_model_component,qakbot,5,file_ext,4865
artifact_model_component,qakbot,6,nls,4860
artifact_model_component,qakbot,7,sortdefault,4860
artifact_model_component,qakbot,8,tmp,4857
artifact_model_component,qakbot,9,windows,4853
artifact_model_component,qakbot,10,exe,4849
artifact_model_component,qakbot,11,hkey_local_machine,4842
artifact_model_component,qakbot,12,software,4841
artifact_model_component,qakbot,13,system,4841
artifact_model_component,qakbot,14,control,4840
artifact_model_component,qakbot,15,controlset001,4839
artifact_model_component,qakbot,16,nt,4839
artifact_model_component,qakbot,17,currentcontrolset,4838
artifact_model_component,qakbot,18,dat,4831
artifact_model_component,qakbot,19,hkey_current_user,4825
artifact_model_component,qakbot,20,wow6432node,4806
artifact_model_component,swisyn,1,file,12591
artifact_model_component,swisyn,2,file_ext,12591
artifact_model_component,swisyn,3,tmp,12590
artifact_model_component,swisyn,4,nls,12586
artifact_model_component,swisyn,5,windows,12585
artifact_model_component,swisyn,6,sortdefault,12581
artifact_model_component,swisyn,7,c_932,12574
artifact_model_component,swisyn,8,c_936,12574
artifact_model_component,swisyn,9,c_949,12574
artifact_model_component,swisyn,10,c_950,12574
artifact_model_component,swisyn,11,ksecdd,12567
artifact_model_component,swisyn,12,ini,12566
artifact_model_component,swisyn,13,exe,12564
artifact_model_component,swisyn,14,microsoft,12542
artifact_model_component,swisyn,15,system,12542
artifact_model_component,swisyn,16,hlp,12541
artifact_model_component,swisyn,17,program,12541
artifact_model_component,swisyn,18,winhelp,12539
artifact_model_component,swisyn,19,hkey_local_machine,12521
artifact_model_component,swisyn,20,reg,12521
artifact_model_component,trickbot,1,microsoft,4193
artifact_model_component,trickbot,2,windows,4192
artifact_model_component,trickbot,3,file,3628
artifact_model_component,trickbot,4,file_ext,3490
artifact_model_component,trickbot,5,system,3426
artifact_model_component,trickbot,6,disableusermodecallbackfilter,3356
artifact_model_component,trickbot,7,reg,3356
artifact_model_component,trickbot,8,software,3351
artifact_model_component,trickbot,9,hkey_local_machine,3350
artifact_model_component,trickbot,10,nt,3297
artifact_model_component,trickbot,11,tmp,3096
artifact_model_component,trickbot,12,exe,2878
artifact_model_component,trickbot,13,hex,2776
artifact_model_component,trickbot,14,wow6432node,2668
artifact_model_component,trickbot,15,currentcontrolset,2663
artifact_model_component,trickbot,16,ksecdd,2594
artifact_model_component,trickbot,17,dll,2444
artifact_model_component,trickbot,18,hkey_current_user,2433
artifact_model_component,trickbot,19,nls,2429
artifact_model_component,trickbot,20,sortdefault,2429
artifact_model_component,ursnif,1,file,1317
artifact_model_component,ursnif,2,file_ext,1296
artifact_model_component,ursnif,3,dll,1287
artifact_model_component,ursnif,4,tmp,1269
artifact_model_component,ursnif,5,microsoft,1264
artifact_model_component,ursnif,6,reg,1248
artifact_model_component,ursnif,7,disableusermodecallbackfilter,1246
artifact_model_component,ursnif,8,hkey_local_machine,1192
artifact_model_component,ursnif,9,software,1183
artifact_model_component,ursnif,10,hkey_current_user,1168
artifact_model_component,ursnif,11,system,1165
artifact_model_component,ursnif,12,controlset001,1139
artifact_model_component,ursnif,13,control,1133
artifact_model_component,ursnif,14,currentcontrolset,1123
artifact_model_component,ursnif,15,windows,990
artifact_model_component,ursnif,16,nt,909
artifact_model_component,ursnif,17,local,832
artifact_model_component,ursnif,18,nls,797
artifact_model_component,ursnif,19,sortdefault,794
artifact_model_component,ursnif,20,temp,778
artifact_model_component,zeus,1,file,2525
artifact_model_component,zeus,2,tmp,2488
artifact_model_component,zeus,3,microsoft,2384
artifact_model_component,zeus,4,reg,2381
artifact_model_component,zeus,5,windows,2379
artifact_model_component,zeus,6,disableusermodecallbackfilter,2370
artifact_model_component,zeus,7,file_ext,2352
artifact_model_component,zeus,8,hkey_local_machine,2312
artifact_model_component,zeus,9,software,2302
artifact_model_component,zeus,10,exe,2260
artifact_model_component,zeus,11,nt,2236
artifact_model_component,zeus,12,dll,2205
artifact_model_component,zeus,13,system,2193
artifact_model_component,zeus,14,wow6432node,2154
artifact_model_component,zeus,15,controlset001,2111
artifact_model_component,zeus,16,control,2078
artifact_model_component,zeus,17,currentcontrolset,1924
artifact_model_component,zeus,18,hkey_current_user,1896
artifact_model_component,zeus,19,local,1630
artifact_model_component,zeus,20,policies,1617
