month,family,n,month_total,family_share
2017-11,ursnif,46,328,0.1402439024390244
2017-11,zeus,156,328,0.47560975609756095
2017-12,emotet,31,324,0.09567901234567901
2017-12,lokibot,14,324,0.043209876543209874
2017-12,njrat,22,324,0.06790123456790123
2017-12,qakbot,17,324,0.05246913580246913
2017-12,swisyn,7,324,0.021604938271604937
2017-12,trickbot,48,324,0.14814814814814814
2017-12,ursnif,19,324,0.05864197530864197
2017-12,zeus,166,324,0.5123456790123457
2018-01,adload,5,541,0.009242144177449169
2018-01,emotet,163,541,0.30129390018484287
2018-01,lokibot,37,541,0.06839186691312385
2018-01,njrat,48,541,0.08872458410351201
2018-01,qakbot,7,541,0.012939001848428836
2018-01,swisyn,11,541,0.02033271719038817
2018-01,trickbot,53,541,0.09796672828096119
2018-01,ursnif,38,541,0.07024029574861368
2018-01,zeus,179,541,0.33086876155268025
2018-02,adload,3,462,0.006493506493506494
2018-02,emotet,130,462,0.2813852813852814
2018-02,lokibot,50,462,0.10822510822510822
2018-02,njrat,30,462,0.06493506493506493
2018-02,qakbot,12,462,0.025974025974025976
2018-02,swisyn,5,462,0.010822510822510822
2018-02,trickbot,50,462,0.10822510822510822
2018-02,ursnif,29,462,0.06277056277056277
2018-02,zeus,153,462,0.33116883116883117
2018-03,emotet,383,965,0.39689119170984455
2018-03,lokibot,168,965,0.17409326424870467
2018-03,njrat,85,965,0.08808290155440414
2018-03,qakbot,93,965,0.09637305699481866
2018-03,swisyn,121,965,0.12538860103626942
2018-03,trickbot,24,965,0.024870466321243522
2018-03,ursnif,33,965,0.03419689119170984
2018-03,zeus,58,965,0.06010362694300518
2018-04,emotet,817,1926,0.4241952232606438
2018-04,lokibot,196,1926,0.10176531671858775
2018-04,njrat,118,1926,0.0612668743509865
2018-04,qakbot,257,1926,0.13343717549325027
2018-04,swisyn,362,1926,0.18795430944963656
2018-04,trickbot,54,1926,0.028037383177570093
2018-04,ursnif,67,1926,0.0347871235721703
2018-04,zeus,55,1926,0.028556593977154723
2018-05,emotet,618,2108,0.29316888045540795
2018-05,lokibot,254,2108,0.1204933586337761
2018-05,njrat,145,2108,0.06878557874762808
2018-05,qakbot,249,2108,0.11812144212523719
2018-05,swisyn,367,2108,0.17409867172675522
2018-05,trickbot,280,2108,0.13282732447817835
2018-05,ursnif,116,2108,0.05502846299810247
2018-05,zeus,79,2108,0.03747628083491461
2018-06,emotet,468,1519,0.30809743252139565
2018-06,lokibot,131,1519,0.08624094799210007
2018-06,njrat,141,1519,0.09282422646477946
2018-06,qakbot,126,1519,0.08294930875576037
2018-06,swisyn,332,1519,0.2185648452929559
2018-06,trickbot,112,1519,0.07373271889400922
2018-06,ursnif,137,1519,0.0901909150757077
2018-06,zeus,72,1519,0.04739960500329164
2018-07,adload,25,1241,0.020145044319097503
2018-07,emotet,275,1241,0.22159548751007252
2018-07,lokibot,174,1241,0.14020950846091862
2018-07,njrat,142,1241,0.11442385173247381
2018-07,qakbot,44,1241,0.035455278001611606
2018-07,swisyn,340,1241,0.273972602739726
2018-07,trickbot,68,1241,0.0547945205479452
2018-07,ursnif,71,1241,0.057211925866236905
2018-07,zeus,102,1241,0.0821917808219178
2018-08,emotet,436,1282,0.34009360374414976
2018-08,lokibot,91,1282,0.07098283931357255
2018-08,njrat,116,1282,0.0904836193447738
2018-08,qakbot,90,1282,0.07020280811232449
2018-08,swisyn,313,1282,0.24414976599063962
2018-08,trickbot,85,1282,0.06630265210608424
2018-08,ursnif,12,1282,0.0093603744149766
2018-08,zeus,139,1282,0.10842433697347893
2018-09,emotet,553,1534,0.3604954367666232
2018-09,harhar,4,1534,0.002607561929595828
2018-09,lokibot,189,1534,0.12320730117340287
2018-09,njrat,122,1534,0.07953063885267275
2018-09,qakbot,95,1534,0.06192959582790091
2018-09,swisyn,333,1534,0.21707953063885269
2018-09,trickbot,130,1534,0.0847457627118644
2018-09,ursnif,17,1534,0.01108213820078227
2018-09,zeus,91,1534,0.059322033898305086
2018-10,adload,27,1892,0.01427061310782241
2018-10,emotet,568,1892,0.30021141649048627
2018-10,harhar,235,1892,0.12420718816067654
2018-10,lokibot,360,1892,0.19027484143763213
2018-10,njrat,137,1892,0.07241014799154334
2018-10,qakbot,75,1892,0.03964059196617336
2018-10,swisyn,311,1892,0.16437632135306554
2018-10,trickbot,119,1892,0.06289640591966174
2018-10,ursnif,24,1892,0.012684989429175475
2018-10,zeus,36,1892,0.019027484143763214
2018-11,adload,2,1721,0.0011621150493898896
2018-11,emotet,603,1721,0.35037768739105174
2018-11,harhar,54,1721,0.03137710633352702
2018-11,lokibot,284,1721,0.16502033701336433
2018-11,njrat,128,1721,0.07437536316095293
2018-11,qakbot,98,1721,0.05694363742010459
2018-11,swisyn,367,1721,0.21324811156304474
2018-11,trickbot,136,1721,0.07902382335851249
2018-11,ursnif,19,1721,0.011040092969203951
2018-11,zeus,30,1721,0.017431725740848343
2018-12,adload,28,2164,0.012939001848428836
2018-12,emotet,1112,2164,0.5138632162661737
2018-12,harhar,36,2164,0.0166358595194085
2018-12,lokibot,195,2164,0.09011090573012939
2018-12,njrat,160,2164,0.07393715341959335
2018-12,qakbot,143,2164,0.06608133086876156
2018-12,swisyn,367,2164,0.16959334565619225
2018-12,trickbot,87,2164,0.040203327171903884
2018-12,ursnif,18,2164,0.00831792975970425
2018-12,zeus,18,2164,0.00831792975970425
2019-01,adload,426,2530,0.1683794466403162
2019-01,emotet,1098,2530,0.43399209486166007
2019-01,harhar,41,2530,0.016205533596837945
2019-01,lokibot,201,2530,0.07944664031620553
2019-01,njrat,145,2530,0.05731225296442688
2019-01,qakbot,103,2530,0.040711462450592886
2019-01,swisyn,453,2530,0.17905138339920948
2019-01,trickbot,36,2530,0.014229249011857707
2019-01,ursnif,12,2530,0.0047430830039525695
2019-01,zeus,15,2530,0.005928853754940711
2019-02,adload,42,2331,0.018018018018018018
2019-02,emotet,1006,2331,0.4315744315744316
2019-02,harhar,17,2331,0.007293007293007293
2019-02,lokibot,211,2331,0.09051909051909052
2019-02,njrat,107,2331,0.045903045903045905
2019-02,qakbot,254,2331,0.10896610896610896
2019-02,swisyn,494,2331,0.21192621192621192
2019-02,trickbot,170,2331,0.07293007293007293
2019-02,ursnif,22,2331,0.009438009438009438
2019-02,zeus,8,2331,0.003432003432003432
2019-03,adload,66,3207,0.0205799812909261
2019-03,emotet,1103,3207,0.34393514187714375
2019-03,harhar,123,3207,0.03835360149672591
2019-03,lokibot,132,3207,0.0411599625818522
2019-03,njrat,143,3207,0.044589959463673216
2019-03,qakbot,950,3207,0.29622700342999686
2019-03,swisyn,506,3207,0.15777985656376675
2019-03,trickbot,158,3207,0.04926722793888369
2019-03,ursnif,10,3207,0.0031181789834736516
2019-03,zeus,16,3207,0.004989086373557842
2019-04,adload,10,2708,0.003692762186115214
2019-04,emotet,639,2708,0.23596750369276218
2019-04,harhar,49,2708,0.01809453471196455
2019-04,lokibot,119,2708,0.04394387001477105
2019-04,njrat,174,2708,0.06425406203840472
2019-04,qakbot,834,2708,0.30797636632200887
2019-04,swisyn,697,2708,0.25738552437223045
2019-04,trickbot,173,2708,0.0638847858197932
2019-04,ursnif,7,2708,0.00258493353028065
2019-04,zeus,6,2708,0.0022156573116691287
2019-05,adload,23,3055,0.0075286415711947625
2019-05,emotet,591,3055,0.19345335515548281
2019-05,lokibot,205,3055,0.06710310965630115
2019-05,njrat,190,3055,0.062193126022913256
2019-05,qakbot,817,3055,0.267430441898527
2019-05,swisyn,945,3055,0.309328968903437
2019-05,trickbot,257,3055,0.08412438625204582
2019-05,ursnif,10,3055,0.0032733224222585926
2019-05,zeus,17,3055,0.005564648117839607
2019-06,adload,14,1881,0.007442849548112706
2019-06,emotet,39,1881,0.02073365231259968
2019-06,harhar,25,1881,0.013290802764486975
2019-06,lokibot,122,1881,0.06485911749069644
2019-06,njrat,140,1881,0.07442849548112707
2019-06,qakbot,157,1881,0.0834662413609782
2019-06,swisyn,1108,1881,0.5890483785220627
2019-06,trickbot,256,1881,0.13609782030834663
2019-06,ursnif,8,1881,0.004253056884635832
2019-06,zeus,12,1881,0.006379585326953748
2019-07,adload,27,1694,0.015938606847697757
2019-07,emotet,6,1694,0.0035419126328217238
2019-07,harhar,2,1694,0.0011806375442739079
2019-07,lokibot,164,1694,0.09681227863046045
2019-07,njrat,170,1694,0.10035419126328217
2019-07,qakbot,48,1694,0.02833530106257379
2019-07,swisyn,813,1694,0.47992916174734357
2019-07,trickbot,438,1694,0.2585596221959858
2019-07,ursnif,3,1694,0.0017709563164108619
2019-07,zeus,23,1694,0.01357733175914994
2019-08,adload,1,1328,0.0007530120481927711
2019-08,emotet,5,1328,0.0037650602409638554
2019-08,lokibot,130,1328,0.09789156626506024
2019-08,njrat,140,1328,0.10542168674698796
2019-08,qakbot,29,1328,0.021837349397590362
2019-08,swisyn,786,1328,0.5918674698795181
2019-08,trickbot,211,1328,0.1588855421686747
2019-08,ursnif,11,1328,0.008283132530120483
2019-08,zeus,15,1328,0.011295180722891566
2019-09,adload,2,1777,0.0011254924029262803
2019-09,emotet,369,1777,0.2076533483398987
2019-09,harhar,1,1777,0.0005627462014631402
2019-09,lokibot,173,1777,0.09735509285312324
2019-09,njrat,108,1777,0.06077658975801913
2019-09,qakbot,74,1777,0.04164321890827237
2019-09,swisyn,812,1777,0.4569499155880698
2019-09,trickbot,169,1777,0.09510410804727068
2019-09,ursnif,59,1777,0.033202025886325266
2019-09,zeus,10,1777,0.005627462014631401
2019-10,adload,1,3724,0.0002685284640171858
2019-10,emotet,1455,3724,0.3907089151450054
2019-10,harhar,11,3724,0.002953813104189044
2019-10,lokibot,238,3724,0.06390977443609022
2019-10,njrat,111,3724,0.029806659505907628
2019-10,qakbot,142,3724,0.038131041890440386
2019-10,swisyn,1207,3724,0.32411385606874327
2019-10,trickbot,205,3724,0.05504833512352309
2019-10,ursnif,253,3724,0.06793770139634801
2019-10,zeus,101,3724,0.027121374865735768
2019-11,emotet,1699,4449,0.38188356934142503
2019-11,harhar,57,4449,0.012811867835468645
2019-11,lokibot,143,4449,0.032142054394245896
2019-11,njrat,172,4449,0.038660373117554506
2019-11,qakbot,136,4449,0.03056866711620589
2019-11,swisyn,1320,4449,0.29669588671611596
2019-11,trickbot,730,4449,0.16408181613845807
2019-11,ursnif,178,4449,0.04000899078444594
2019-11,zeus,14,4449,0.003146774556080018
2019-12,adload,1,164,0.006097560975609756
2019-12,emotet,1,164,0.006097560975609756
2019-12,njrat,10,164,0.06097560975609756
2019-12,qakbot,11,164,0.06707317073170732
2019-12,swisyn,120,164,0.7317073170731707
2019-12,trickbot,20,164,0.12195121951219512
2019-12,zeus,1,164,0.006097560975609756
2020-01,lokibot,1,22,0.045454545454545456
2020-01,njrat,2,22,0.09090909090909091
2020-01,qakbot,1,22,0.045454545454545456
2020-01,swisyn,13,22,0.5909090909090909
2020-01,trickbot,1,22,0.045454545454545456
2020-01,ursnif,1,22,0.045454545454545456
2020-01,zeus,3,22,0.13636363636363635
